year,postcode,suburb,avg_CO2_kg_per_customer_year
2022,3802,Endeavour_Hills,3389.0
2021,3802,Endeavour_Hills,3389.0
2020,3802,Endeavour_Hills,3389.0
2020,3807,Beaconsfield,3567.0
2022,3807,Beaconsfield,2840.0
2021,3807,Beaconsfield,3455.0
2020,3978,Clyde;Clyde_North,2422.0
2021,3978,Clyde;Clyde_North,2413.0
2022,3978,Clyde;Clyde_North,2449.0
2022,3804,Narre_Warren_North,4303.0
2021,3804,Narre_Warren_North,4457.0
2020,3804,Narre_Warren_North,4529.0
2021,3806,Berwick;Harkaway,3292.0
2022,3806,Berwick;Harkaway,3180.0
2020,3806,Berwick;Harkaway,3386.0
2022,3975,Lynbrook;Lyndhurst,3046.0
2021,3975,Lynbrook;Lyndhurst,3069.0
2020,3975,Lynbrook;Lyndhurst,3112.0
2020,3156,Lysterfield_South,3236.0
2021,3156,Lysterfield_South,3236.0
2022,3156,Lysterfield_South,3236.0
2021,3803,Hallam,2831.0
2022,3803,Hallam,2778.0
2020,3803,Hallam,2863.0
2022,3805,Narre_Warren;Narre_Warren_South,3131.0
2021,3805,Narre_Warren;Narre_Warren_South,3210.0
2020,3805,Narre_Warren;Narre_Warren_South,3289.0
2020,3912,Pearcedale,2792.0
2022,3912,Pearcedale,2591.0
2021,3912,Pearcedale,2691.0
2021,3976,Hampton_Park,2648.0
2020,3976,Hampton_Park,2736.0
2022,3976,Hampton_Park,2572.0
2022,3977,Botanic_Ridge;Cannons_Creek;Cranbourne;Cranbourne_East;Cranbourne_North;Cranbourne_South;Cranbourne_West;Devon_Meadows;Junction_Village,2576.0
2021,3977,Botanic_Ridge;Cannons_Creek;Cranbourne;Cranbourne_East;Cranbourne_North;Cranbourne_South;Cranbourne_West;Devon_Meadows;Junction_Village,2646.0
2020,3977,Botanic_Ridge;Cannons_Creek;Cranbourne;Cranbourne_East;Cranbourne_North;Cranbourne_South;Cranbourne_West;Devon_Meadows;Junction_Village,2713.0
2022,3177,Doveton;Eumemmerring,2328.0
2021,3177,Doveton;Eumemmerring,2328.0
2020,3177,Doveton;Eumemmerring,2328.0
